"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","ID_3","NAME_3","TYPE_3","ENGTYPE_3","NL_NAME_3","VARNAME_3"
32,174,"PAN","Panama",2,"Chiriquí",6,"Boquerón",32,"Guayabal","Corregimiento","Municipality",NA,NA
33,174,"PAN","Panama",2,"Chiriquí",6,"Boquerón",33,"Paraíso","Corregimiento","Municipality",NA,NA
34,174,"PAN","Panama",2,"Chiriquí",6,"Boquerón",34,"Pedregal","Corregimiento","Municipality",NA,NA
35,174,"PAN","Panama",2,"Chiriquí",6,"Boquerón",35,"Tijeras","Corregimiento","Municipality",NA,NA
36,174,"PAN","Panama",2,"Chiriquí",7,"Boquete",36,"Alto Boquete","Corregimiento","Municipality",NA,NA
37,174,"PAN","Panama",2,"Chiriquí",7,"Boquete",37,"Bajo Boquete","Corregimiento","Municipality",NA,NA
38,174,"PAN","Panama",2,"Chiriquí",7,"Boquete",38,"Caldera","Corregimiento","Municipality",NA,NA
39,174,"PAN","Panama",2,"Chiriquí",7,"Boquete",39,"Jaramillo","Corregimiento","Municipality",NA,NA
40,174,"PAN","Panama",2,"Chiriquí",7,"Boquete",40,"Los Naranjos","Corregimiento","Municipality",NA,NA
41,174,"PAN","Panama",2,"Chiriquí",7,"Boquete",41,"Palmira","Corregimiento","Municipality",NA,NA
42,174,"PAN","Panama",2,"Chiriquí",8,"Bugaba",42,"Aserrío de Gariché","Corregimiento","Municipality",NA,NA
43,174,"PAN","Panama",2,"Chiriquí",8,"Bugaba",43,"Bugaba","Corregimiento","Municipality",NA,NA
44,174,"PAN","Panama",2,"Chiriquí",8,"Bugaba",44,"Cerro Punta","Corregimiento","Municipality",NA,NA
45,174,"PAN","Panama",2,"Chiriquí",8,"Bugaba",45,"El Bongo","Corregimiento","Municipality",NA,NA
46,174,"PAN","Panama",2,"Chiriquí",8,"Bugaba",46,"Gómez","Corregimiento","Municipality",NA,NA
47,174,"PAN","Panama",2,"Chiriquí",8,"Bugaba",47,"La Concepción","Corregimiento","Municipality",NA,NA
48,174,"PAN","Panama",2,"Chiriquí",8,"Bugaba",48,"La Estrella","Corregimiento","Municipality",NA,NA
49,174,"PAN","Panama",2,"Chiriquí",8,"Bugaba",49,"San Andrés","Corregimiento","Municipality",NA,NA
50,174,"PAN","Panama",2,"Chiriquí",8,"Bugaba",50,"Santa Marta","Corregimiento","Municipality",NA,NA
